Receptor,MAP4K4
Measure,RMSD
min-cross,0.499400,0.023657
align-cross,0.498429,0.025152
dock-cross,0.394657,0.023457
align-close,0.447829,0.024036
dock-close,0.263857,0.020400
p-value,0.000000,0,3
